code_module,code_presentation,id_student,dataplus,dualpane,externalquiz,folder,forumng,glossary,homepage,htmlactivity,oucollaborate,oucontent,ouelluminate,ouwiki,page,questionnaire,quiz,repeatactivity,resource,sharedsubpage,subpage,url,final_result
AAA,2013J,11391,0,0,0,0,176,0,121,0,0,454,0,0,0,0,0,0,10,0,21,5,Pass
AAA,2013J,28400,10,0,0,0,316,0,268,0,0,472,0,0,0,0,0,0,7,0,61,38,Pass
AAA,2013J,30268,0,0,0,0,87,0,27,0,0,52,0,0,0,0,0,0,0,0,10,3,Withdrawn
AAA,2013J,31604,2,0,0,0,605,0,402,0,0,758,0,0,0,0,0,0,10,0,125,87,Pass
AAA,2013J,32885,0,0,0,0,121,2,152,0,0,353,0,0,0,0,0,0,38,0,62,11,Pass
AAA,2013J,38053,7,0,0,0,723,4,440,0,0,821,0,0,0,0,0,0,5,0,76,44,Pass
AAA,2013J,45462,2,0,0,0,108,0,287,0,2,799,0,0,0,0,0,0,4,0,87,23,Pass
AAA,2013J,45642,4,0,0,0,417,0,288,0,1,507,0,0,0,0,0,0,14,0,120,56,Pass
AAA,2013J,52130,8,0,0,0,333,0,472,0,2,712,0,0,0,0,0,0,19,0,214,128,Pass
AAA,2013J,53025,3,0,0,0,1934,0,375,0,0,482,0,0,0,0,0,0,3,0,108,77,Pass
AAA,2013J,57506,5,0,0,0,27,8,320,0,0,626,0,0,0,0,0,0,14,0,117,50,Pass
AAA,2013J,58873,8,0,0,0,210,0,458,0,2,710,0,0,0,0,0,0,5,0,102,78,Pass
AAA,2013J,59185,0,0,0,0,210,0,188,0,3,460,0,0,0,0,0,0,11,0,92,28,Pass
AAA,2013J,62155,12,0,0,0,1217,0,468,0,1,1367,0,0,0,0,0,0,19,0,53,0,Pass
AAA,2013J,63400,25,0,0,0,369,0,502,0,0,1278,0,0,0,0,0,0,6,0,192,123,Pass
AAA,2013J,65002,0,0,0,0,12,0,35,0,0,100,0,0,0,0,0,0,2,0,18,1,Withdrawn
